revenues,revenues(change%),profit,profit(change%),asset($m),marketcap(03032021),change_rank(1000),employees,change_rank(500),measure_rank,company
"$77,867",8.2%,"$20,899",-0.7%,"$153,091","$260,630.1",5,"110,600",5,6,Intel
"$77,155",18.9%,"$3,367",24.4%,"$34,969","$54,087.7",11,"48,700",11,48,Humana
"$73,620",-4.6%,"$5,590",-40.7%,"$155,971","$119,080.3",-4,"364,800",-4,91,International Business Machines
"$70,950",4.8%,"$13,027",234.3%,"$120,700","$333,493.1",7,"99,000",7,127,Procter & Gamble
"$70,372",4.8%,"$7,120",-2.7%,"$92,918","$195,207.7",7,"291,000",7,58,PepsiCo
"$69,217",-0.7%,"$1,286",138.1%,"$73,537","$75,367.8",2,"418,000",2,125,FedEx
"$67,842",-2.6%,"$5,407",-8.3%,"$795,146","$53,762.6",2,"46,500",2,23,MetLife
"$66,228",-11.8%,"$7,326",1.6%,"$2,627,415","$1,332.6",-6,"6,922",-6,256,Freddie Mac
"$65,494",-40.2%,"$-3,975",-229.2%,"$54,721","$35,703.6",-21,"14,300",-21,283,Phillips 66
"$65,398",9.3%,"$6,833",9.7%,"$50,710","$102,984.2",8,"114,000",8,160,Lockheed Martin
"$65,388",-6%,"$-2,864",-125.9%,"$201,549","$334,952.5",-1,"203,000",-1,41,Walt Disney
"$64,355",-0.5%,"$1,772",28.5%,"$49,719","$31,834.5",3,"38,332",3,128,Archer Daniels Midland (ADM)
"$62,455.1",3.2%,$466.4,255.8%,"$24,735.1","$8,877.7",3,"270,000",3,-,Albertsons
"$60,115",-41.5%,"$-1,421",-158.7%,"$51,774","$29,267.2",-21,"9,964",-21,239,Valero Energy
"$58,158",-24%,"$-11,873",-,"$152,136","$148,664.8",-14,"141,000",-14,256,Boeing
"$57,033",-12%,$-374,-108.9%,"$940,722","$36,022.4",-2,"41,671",-2,189,Prudential Financial
"$56,639",-3.6%,"$2,844",-9.8%,"$34,681","$39,579.5",2,"53,000",2,71,HP
"$56,587",-26.6%,"$-3,519",-163.6%,"$162,153","$117,143.9",-18,"181,000",-18,-,Raytheon Technologies
"$54,139.6",64.6%,$169.6,99.3%,"$13,474.9","$1,284.4",42,"2,950",42,454,StoneX
"$53,498",-0.8%,"$9,459",11.7%,"$1,163,028","$116,903",1,"40,500",1,46,Goldman Sachs Group
"$52,893.3",-12%,$215.5,-87.1%,"$22,628.3","$40,189.8",-4,"57,000",-4,115,Sysco
"$52,047",-3.3%,"$10,996",21.6%,"$1,115,862","$146,161.9",-,"68,097",-,47,Morgan Stanley
"$51,533",0.4%,"$3,754",7.1%,"$47,490","$63,458.7",3,"235,000",3,311,HCA Healthcare
"$49,301",-5%,"$11,214",-3.5%,"$94,853","$218,308.5",-,"77,500",-,80,Cisco Systems
"$48,097",5.1%,"$3,222",93.2%,"$144,206","$128,965.7",7,"96,100",7,162,Charter Communications
"$47,994",2.5%,"$7,067",-28.2%,"$91,588","$195,062",4,"73,500",4,35,Merck
"$47,262",8.3%,"$1,798",16.7%,"$19,067","$28,707.7",9,"81,600",9,137,Best Buy
"$46,712.4",5.9%,$-822.3,-181.9%,"$359,312.5",-,6,"11,506",6,186,New York Life Insurance
"$45,804",37.7%,"$4,616",-41.4%,"$150,565","$190,989.4",31,"47,000",31,77,AbbVie
"$45,204",17.5%,"$3,971.8",32.2%,"$28,094.1",-,18,"227,000",18,-,Publix Super Markets
"$44,791",0.3%,"$5,576",15%,"$125,987","$34,800.2",2,"42,010",2,8,Allstate
"$43,796",1.3%,$758,-27.4%,"$145,377",-,6,"45,000",6,230,Liberty Mutual Insurance Group
"$43,736",-12.1%,"$-5,944",-277.5%,"$586,481","$39,848.9",-6,"45,000",-6,343,American International Group
"$43,185",1.8%,"$2,061",4.1%,"$34,456","$27,099.6",6,"139,000",6,220,Tyson Foods
"$42,658.1",9.3%,"$5,704.6",43.7%,"$64,098.3","$55,946.5",12,"43,326",12,16,Progressive
"$42,518",62.6%,"$-9,015",-362.1%,"$118,481","$141,027.9",40,"30,250",40,-,Bristol-Myers Squibb
"$41,929.8",-4.7%,$-138.4,-116.7%,"$256,589.3",-,-2,"25,391",-2,-,Nationwide
"$41,908",-19%,"$9,616",-40.9%,"$154,229","$202,096.9",-13,"78,500",-13,203,Pfizer
"$41,748",-22.4%,"$2,998",-50.8%,"$78,324","$126,439.6",-16,"97,300",-16,139,Caterpillar
"$41,619.3",2.9%,$558.1,-77.3%,"$654,252",-,2,"14,953",2,-,TIAA
"$39,068",-1.1%,"$10,135",-8.6%,"$115,438","$202,337.7",2,"135,000",2,365,Oracle
"$38,954",-28.1%,$-648,-118%,"$95,144","$20,754.7",-22,"11,421",-22,363,Energy Transfer
"$38,542",-10.3%,"$1,225",-,"$61,470","$47,649.7",-4,"35,700",-4,133,Dow
"$38,185",-18.8%,"$3,135",-53.6%,"$191,367","$113,635.8",-16,"63,700",-16,29,American Express
"$37,925",-3.6%,"$3,167",-9.1%,"$51,308","$51,481.9",-1,"100,700",-1,157,General Dynamics
"$37,403",-4.4%,"$2,539",-37%,"$31,342","$209,499.8",-,"75,400",-,12,Nike
"$36,799",8.7%,"$3,189",41.9%,"$44,469","$53,956.7",10,"97,000",10,111,Northrop Grumman
"$36,296.2",1.9%,"$3,906.9",-2.5%,"$200,348.4",-,7,"35,935",7,245,USAA
"$35,540",-9.5%,"$2,751",-15.4%,"$75,091","$117,270",-4,"69,634",-4,168,Deere
"$34,608",8.5%,"$4,495",21.9%,"$72,548","$212,300.1",15,"109,000",15,62,Abbott Laboratories
"$33,782.1",4.6%,$425,-66.5%,"$308,767",-,12,"6,641",12,-,Northwestern Mutual
"$33,746.8",21.6%,"$2,655.1",55%,"$25,862.6","$48,479.7",21,"158,000",21,343,Dollar General
"$33,039",-4.1%,"$1,963",-33.1%,"$129,317","$42,723.5",3,"32,340",3,217,Exelon
"$33,014",-11.4%,"$7,747",-13.2%,"$87,296","$227,143.8",-5,"80,300",-5,262,Coca-Cola
"$32,637",-11.1%,"$4,779",-22.2%,"$64,586","$150,972.4",-2,"103,000",-2,321,Honeywell International
"$32,218",26.1%,"$6,375",72.5%,"$69,052","$179,719.4",24,"84,362",24,278,Thermo Fisher Scientific
"$32,184",0.1%,"$5,384",17.8%,"$47,344","$111,642.1",7,"94,987",7,106,3M
"$32,137",-23%,$90.5,-97.2%,"$30,813.6","$79,774.9",-17,"320,000",-17,36,TJX
"$31,981",1.3%,"$2,697",2.9%,"$116,764","$37,933",8,"30,294",8,173,Travelers
"$31,643",-6.3%,"$2,714",-51.1%,"$421,602","$58,097",-2,"51,985",-2,34,Capital One Financial
"$31,536",28.3%,$721,-,"$52,148","$641,115",24,"70,757",24,172,Tesla
"$28,694",-3.7%,"$8,056",12.1%,"$44,815","$138,302.4",6,"71,000",6,67,Philip Morris International
"$28,673.4",-0.8%,$584.4,-,"$17,053.9","$8,267.5",8,"19,600",8,368,Arrow Electronics
"$28,406.4",-11%,$422.4,-49.1%,"$15,993.9",-,2,"10,493",2,-,CHS
"$27,266.4",7.8%,$53.9,-81.2%,"$14,397.4","$7,833.2",17,"240,000",17,301,Jabil
"$27,199.7",-17%,"$3,775.6",-17.8%,"$64,106.7","$48,038.8",-4,"7,130",-4,451,Enterprise Products Partners
"$26,982",-7.4%,$-322,-130.7%,"$54,015","$20,480",3,"59,400",3,84,Hewlett Packard Enterprise
"$26,742.8",13.9%,$-274.1,-,"$7,587","$1,854.4",26,"28,300",26,178,United Natural Foods
"$26,581",2.8%,"$3,555",-8.1%,"$67,810","$82,651.1",9,"79,000",9,237,Mondelez International
"$26,186",-5.8%,"$2,422",-26.8%,"$52,663","$28,853.2",2,"24,225",2,60,ViacomCBS
"$26,185",4.8%,$356,-81.6%,"$99,830","$48,924.7",12,"38,000",12,236,Kraft Heinz
"$25,509.3",8%,"$1,341.9",62.3%,"$20,696","$26,717.4",20,"129,772",20,112,Dollar Tree
"$25,424",8.8%,"$7,264",-7.4%,"$62,948","$143,704.3",23,"24,300",23,152,Amgen
"$25,241",-7.6%,"$4,959",-28.3%,"$553,905","$83,107.4",-,"68,108",-,185,U.S. Bancorp
"$25,086.3",27.1%,$-114.1,-168.4%,"$7,719.7","$7,705.3",54,"20,000",54,454,Performance Food Group
"$24,996.1",24%,"$2,761.4",47.9%,"$39,280.4","$231,040.7",49,"9,400",49,166,Netflix
"$24,689",10%,$123,-97.7%,"$68,407","$81,372.8",24,"13,600",24,28,Gilead Sciences
"$24,675.6",3.9%,$529.2,5.7%,"$13,468.6","$5,874.5",13,"277,900",13,330,TD Synnex
"$24,539.8",9.9%,"$6,193.7",-25.5%,"$46,633.1","$179,158.9",27,"35,000",27,27,Eli Lilly
"$24,427",66.6%,"$4,482",39%,"$509,228","$78,408.5",98,"53,638",98,42,Truist Financial
"$24,039",11.2%,"$7,517",40%,"$466,679","$74,377.4",31,"50,403",31,-,PNC Financial Services Group
"$23,888",5.7%,"$2,960",8.7%,"$75,933","$189,313.5",17,"21,000",17,320,Broadcom
"$23,826.2",-0.3%,$752,-41.4%,"$18,039.1","$26,549.1",6,"100,000",6,126,CBRE Group
"$23,663.1",-36.5%,$-100.5,-102.7%,"$322,936.3",-,-34,"9,974",-34,-,Massachusetts Mutual Life Insurance
"$23,531",-3.1%,"$5,198",18.5%,"$35,594","$150,622.2",2,"41,000",2,78,Qualcomm
"$23,518",-11.3%,$928.3,-74.2%,"$29,374.5","$128,643.6",-11,"349,000",-11,299,Starbucks
"$23,453",-4.9%,"$1,377",-63.3%,"$162,388","$74,252.5",-3,"27,535",-3,184,Duke Energy
"$23,290",-30.8%,$-568,-271.6%,"$25,951","$1,824.5",-29,"4,400",-29,452,Plains GP Holdings
"$22,885",-11.8%,$-226,-158.7%,"$12,423","$8,427.5",-12,"26,000",-12,343,US Foods Holding
"$22,488.9",1%,"$2,465",33.3%,"$29,935.2","$30,893.2",18,"9,495",18,399,Lennar
"$22,284",8.6%,"$3,646",21.2%,"$76,161","$160,497.2",31,"69,000",31,124,Danaher
"$22,147",-0.7%,"$4,778",44.6%,"$165,086","$35,191.4",15,"12,003",15,63,Aflac
"$21,928.4",1.2%,$-452.2,-,"$9,452.4","$1,129.9",18,"39,920",18,108,Rite Aid
"$21,846",-4.9%,"$10,866",-10%,"$80,919","$452,525.4",4,"20,500",4,14,Visa
"$21,454",20.7%,"$4,202",70.9%,"$70,379","$284,408.3",48,"26,500",48,101,PayPal Holdings
"$21,435",-8.4%,"$2,687",-57.4%,"$53,678","$98,678",-1,"40,000",-1,150,Micron Technology
"$21,424.1",11.9%,$888.4,5.5%,"$21,082.2","$21,562.7",37,"27,050",37,370,CarMax
"$21,252",24.3%,"$4,072",3131.7%,"$66,301","$195,132.3",53,"56,606",53,45,Salesforce
"$20,841",5.3%,"$4,467",-,"$47,414","$95,090.6",29,"7,100",29,114,Altria Group
"$20,712",-7.5%,"$-1,232",-,"$59,394","$14,642.9",4,"39,000",4,343,Lumen Technologies
"$20,705",-13.1%,"$-9,940",-7865.6%,"$38,007","$22,494.8",-11,"55,000",-11,180,Baker Hughes
"$20,580",-8%,$482,-60.7%,"$31,718","$21,240.6",3,"49,300",3,328,International Paper
"$20,523",-1%,"$1,737",-16.7%,"$74,111","$23,863.3",18,"18,500",18,195,Hartford Financial Services Group
"$20,443.9",-11.8%,$543.6,24.7%,"$13,247.2","$6,485.5",-7,"23,600",-7,399,Penske Automotive Group
"$20,397",-5.2%,"$-2,951",-692.6%,"$70,904","$41,308.1",8,"34,000",8,238,DuPont
"$20,390",-4.4%,$381.6,-15.2%,"$9,887.2","$7,683.2",9,"21,600",9,399,AutoNation
"$20,375",-4.9%,"$3,119",-34.2%,"$122,935","$65,678.9",7,"27,700",7,242,Southern
"$20,358.3",-44.7%,$109.6,-38.7%,"$4,500.3","$2,222",-56,"4,300",-56,399,World Fuel Services
"$20,311.1",15.5%,"$2,373.7",46.7%,"$18,912.3","$32,413.1",35,"9,716",35,399,D.R. Horton
"$20,139.7",-10.8%,$721.5,-43.2%,"$20,125.4","$23,975.7",-10,"26,400",-10,399,Nucor
"$19,811",-16%,"$1,789",-20.8%,"$22,624","$37,971.1",-18,"57,825",-18,211,Cummins
"$19,770.9",-17.9%,$-397,-210.3%,"$6,498.7",$263.5,-24,"1,400",-24,-,NGL Energy Partners
"$19,577",-7.6%,"$-5,369",-527.1%,"$26,006","$7,958.6",3,"138,000",3,246,DXC Technology
"$19,533",-10%,"$5,349",-9.6%,"$62,398","$146,948.3",-4,"30,960",-4,96,Union Pacific
"$19,456",-4.7%,"$1,081",-8.7%,"$20,350","$13,831.7",8,"78,000",8,182,Whirlpool
"$19,423",15.4%,$673,-8.7%,"$9,532","$13,647.3",38,"10,500",38,399,Molina Healthcare
"$19,256",-47.5%,"$-2,701",-137.6%,"$62,618","$71,623.4",-63,"9,700",-63,169,ConocoPhillips
"$19,207.8",-8.9%,"$4,730.5",-21.5%,"$52,626.8","$167,112.5",-1,"200,000",-1,81,McDonald's
"$19,140",3.7%,"$2,352",9%,"$17,523","$46,999.8",17,"46,000",17,146,Kimberly-Clark
"$18,728.5",-26.8%,"$1,298.4",-45.6%,"$28,260","$32,255.8",-41,"26,000",-41,399,Paccar
"$18,469",7.8%,"$-1,318",-,"$97,856","$23,240.6",29,"24,000",29,61,PG&E
"$18,467.5",2.4%,$788.5,7%,"$9,344.7","$23,291.8",17,"10,000",17,307,CDW
"$18,361.7",2.6%,"$2,030.4",31.7%,"$20,401.6","$65,837.3",18,"61,031",18,163,Sherwin-Williams
"$18,194",41.5%,"$1,119",-16.1%,"$36,960","$41,664.1",87,"48,000",87,136,L3Harris Technologies
"$18,097",-28.6%,"$-3,944",-799.3%,"$17,706","$5,028.1",-44,"75,711",-44,39,Macy's
"$18,001",-13.7%,$23.8,-94.9%,"$9,328.2","$5,434.2",-7,"25,000",-7,86,ManpowerGroup
"$17,997",-6.3%,"$2,919",-22.6%,"$127,684","$148,304.9",6,"14,900",6,132,NextEra Energy
"$17,640",-4.5%,$399,-,"$27,106","$5,536.5",7,"97,900",7,315,Tenet Healthcare
"$17,634.3",-9.7%,$-31.1,-117.6%,"$8,105.2","$4,128.4",1,"14,600",1,-,Avnet
"$17,626.6",4.5%,"$2,181.2",24.4%,"$30,806.7","$37,403.4",23,"35,000",23,145,General Mills
"$17,578.8",-3.9%,$-690.9,-180.1%,"$28,779.7","$13,716.1",7,"49,300",7,326,WestRock
"$17,456",-,"$1,982",-,"$25,093","$36,701.1",-,"56,000",-,305,Carrier Global
"$17,439",1%,$499,-43.7%,"$365,948","$11,953.2",16,"10,966",16,343,Lincoln National
"$17,384.4",-10.4%,$-29.1,-104.7%,"$13,440.2","$16,691.8",-2,"50,000",-2,274,Genuine Parts
"$17,337",-62.1%,"$-8,885",-627%,"$62,008","$15,328.8",-104,"102,700",-104,68,American Airlines Group
"$17,224",3.4%,"$2,016",15.7%,"$33,049","$62,054.9",20,"76,000",20,117,Marsh & McLennan
"$17,202",17.8%,"$3,619",33.7%,"$22,353","$122,599.5",42,"24,000",42,82,Applied Materials
"$17,117",-1%,$874,-29.1%,"$54,012","$70,649.7",10,"72,000",10,79,Becton Dickinson
"$17,095",-63.6%,"$-12,385",-359.8%,"$71,996","$30,809.7",-110,"74,000",-110,228,Delta Air Lines
"$17,045.5",-14%,$158.5,-79%,"$13,198.6","$10,895.8",-13,"174,600",-13,214,Lear
"$16,940",-18.6%,"$3,617",-18.6%,"$469,633","$41,471",-21,"48,500",-21,15,Bank of New York Mellon
"$16,785",-8.6%,"$1,965",-14.8%,"$22,882","$54,134.7",-5,"83,500",-5,213,Emerson Electric
"$16,736",1%,$-250,-,"$25,662","$20,432",16,"63,800",16,204,Western Digital
"$16,680",-24.1%,"$-14,831",-,"$80,064","$24,848.7",-35,"11,800",-35,279,Occidental Petroleum
"$16,675",52.7%,"$4,332",54.9%,"$28,791","$331,036.6",108,"18,975",108,52,Nvidia
"$16,652",-0.8%,"$1,392",-24.4%,"$16,923","$41,451.6",9,"289,500",9,183,Cognizant Technology Solutions
"$16,589.9",-7.7%,$402.5,-24.8%,"$14,316.5","$9,150.9",-7,"90,800",-7,103,Jones Lang LaSalle
"$16,472",-15.4%,"$1,385",-63%,"$95,948","$23,740.6",-17,"16,500",-17,264,Synchrony Financial
"$16,471",5%,"$2,695",13.9%,"$15,920","$66,810.3",15,"34,200",15,153,Colgate-Palmolive
"$16,390.8",-18.8%,$-186.4,-,"$12,999","$9,469.8",-26,"54,000",-26,241,AECOM
"$16,252",-2.4%,$110,-73.7%,"$16,169","$12,601.7",6,"119,750",6,377,XPO Logistics
"$16,207.1",5.9%,$506.4,-12.2%,"$5,144.3","$12,514.9",17,"14,888",17,209,C.H. Robinson Worldwide
"$16,205",11.5%,"$4,932",10.2%,"$176,982","$115,079.8",27,"16,500",27,22,BlackRock
"$16,128",-2.7%,$-401,-129.5%,"$95,905","$61,224",4,"17,300",4,232,Dominion Energy
"$15,980.7",204.3%,$198,-,"$37,534.6","$45,821",-,"24,000",-,272,Rocket Companies
"$15,955",-20.1%,$-163,-123.6%,"$15,337","$9,394.1",-30,"73,000",-30,256,Kohl's
"$15,884.2",-9.6%,$-435,-,"$7,309.8","$3,252.4",-15,"43,717",-15,384,Fluor
"$15,493.4",21%,"$1,762.7",25.9%,"$38,239.9","$19,048.2",54,"13,500",54,385,DISH Network
"$15,430",17%,$421,124.9%,"$5,411.5","$6,156.5",45,"32,000",45,399,BJ's Wholesale Club
"$15,379",-11.9%,"$-1,521",-,"$11,852",$875.7,-14,"73,000",-14,276,Tenneco
"$15,355",-64.5%,"$-7,069",-334.9%,"$59,548","$18,325.1",-124,"74,400",-124,386,United Airlines Holdings
"$15,301",-9.4%,"$6,411",-21%,"$33,584","$353,686.7",-10,"21,000",-10,32,Mastercard
"$15,218",-1.5%,"$1,496",-10.4%,"$29,345","$54,451.7",5,"48,250",5,83,Waste Management
"$15,115.9",-38.3%,"$-1,392.4",-535.9%,"$10,499.8","$1,699.5",-78,"3,729",-78,399,PBF Energy
"$14,918.5",-4.1%,"$2,200.1",14.5%,"$80,757.2","$42,067.3",-,"16,787",-,122,American Electric Power
"$14,852",45.8%,$958,7.3%,"$74,619","$79,692.5",106,"44,000",106,343,Fiserv
"$14,741.7",-9.1%,"$1,395.8",0.1%,"$296,627.7","$16,345.9",-5,"17,400",-5,121,Principal Financial
"$14,596",2.1%,$415,-52.3%,"$84,656","$8,568",18,"3,600",18,231,Reinsurance Group of America
"$14,589.8",2.9%,"$2,466.5",7.6%,"$39,165.5","$80,653.9",19,"58,000",19,131,Automatic Data Processing
"$14,534.6",0.6%,"$1,233.8",29.1%,"$23,566.3","$32,152.4",11,"58,350",11,296,Stanley Black & Decker
"$14,461",0.5%,"$5,595",11.5%,"$19,351","$174,439.3",12,"30,000",12,138,Texas Instruments
"$14,445",-35.5%,"$-2,945",-,"$20,680","$19,070.1",-69,"40,000",-69,248,Halliburton
"$14,351",-3.6%,"$1,599",-23.2%,"$34,330","$91,665.1",2,"43,000",2,256,Stryker
"$14,294",-3.8%,$684,-61.7%,"$17,781","$105,508.6",2,"48,000",2,21,Estée Lauder
"$14,217",2.7%,$681,-,"$42,649","$34,528.5",20,"21,000",20,343,Corteva
"$14,198",-1.4%,$599,-,"$42,144","$48,027.8",6,"24,500",6,302,Freeport-McMoRan
"$14,177",5.3%,"$1,204",-,"$16,999","$4,880.5",23,"26,424",23,-,Qurate Retail
"$14,145.2",55%,$185,-,"$4,569.9","$32,644.7",131,"16,122",131,399,Wayfair
"$13,978.5",21%,"$1,556.1",88.9%,"$20,071.7","$24,890.9",56,"68,780",56,343,Laboratory Corp. of America
"$13,948.9",0.4%,$264.9,28.7%,"$9,186",-,13,"9,000",13,-,Land O'Lakes
"$13,834",-8.7%,"$1,059",-14.8%,"$19,556","$35,603.6",-11,"46,900",-11,341,PPG Industries
"$13,800",-15.8%,$-665,-289.5%,"$13,769","$11,164.9",-22,"117,000",-22,4,Gap
"$13,770",1.4%,"$1,251",30.3%,"$17,996","$21,544.5",15,"31,000",15,268,Kellogg
"$13,695.5",-4.4%,"$1,206.3",-20.2%,"$19,738.2","$40,716.1",1,"50,520",1,399,Parker-Hannifin
"$13,617.1",2.2%,$63.2,9.5%,"$1,954.7","$1,747.3",16,"7,534",16,399,Core-Mark Holding
"$13,578.2",-12.2%,$491.8,-42%,"$12,354.4","$16,816.2",-19,"53,500",-19,199,Jacobs Engineering Group
"$13,578",10%,$739,-42.4%,"$69,372","$22,229.3",33,"13,209",33,38,Edison International
"$13,561.5",0.6%,$23.5,-96.5%,"$85,424.7",-,11,"8,871",11,-,Guardian Life Ins. Co. of America
"$13,444.6",-6.5%,"$4,000.6",-32.1%,"$24,618.9","$42,615.9",-5,"9,100",-5,5,Biogen
"$13,171.1",-11.9%,$945.4,-29.4%,"$27,647.2","$15,946.2",-18,"64,100",-18,53,Omnicom Group
"$13,162.1",9.7%,$793,-27.9%,"$70,625.8","$5,669.8",36,"10,500",36,149,Unum Group
"$13,124.3",3.6%,$470.3,73.2%,"$7,902.1","$10,467",21,"14,538",21,285,Lithia Motors
"$13,074.5",3.5%,$403.2,-11.6%,"$33,941.8",-,22,"13,225",22,-,American Family Insurance Group
"$12,953",-7.4%,"$1,141",-61.4%,"$112,889","$29,099.7",-2,"17,600",-2,24,Discover Financial Services
"$12,868",15.2%,"$5,260",78.2%,"$24,284","$227,226.9",51,"22,516",51,73,Adobe
"$12,829.6",-20.9%,$-461.5,-202.9%,"$15,712.7","$9,595.3",-35,"209,325",-35,314,Aramark
"$12,756",-,$906,-,"$10,710","$29,418.4",-,"69,000",-,140,Otis Worldwide
"$12,748.7",-14.5%,"$-1,205.1",-177.3%,"$18,126","$61,240.7",-24,"44,000",-24,147,Ecolab
"$12,632",6.5%,"$1,733",7.2%,"$14,423.9","$30,946.3",30,"80,000",30,90,AutoZone
"$12,583",-15.7%,$-931,-199.9%,"$80,236","$13,698.3",-27,"12,200",-27,399,Loews
"$12,574",-10.9%,"$2,109",-16.3%,"$15,612","$70,106.7",-11,"43,000",-11,107,Illinois Tool Works
"$12,552",21.5%,$158,-47%,"$83,842","$87,336.9",62,"62,000",62,229,Fidelity National Information Services
"$12,531.6",-21.9%,$85.4,-94.9%,"$12,717.9","$42,750.7",-40,"93,700",-40,273,Ross Stores
"$12,463",21.2%,$826,97.1%,"$6,440",-,64,"27,000",64,-,Peter Kiewit Sons'
"$12,415",29.4%,$-648,-,"$275,397","$14,207.5",89,"12,400",89,94,Equitable Holdings
"$12,326",47.5%,$100.6,-55%,"$11,880.2","$4,340.5",134,"18,000",134,322,WESCO International
"$12,321",-16.4%,"$-1,254",-,"$16,506","$4,099.1",-30,"62,000",-30,343,Goodyear Tire & Rubber
"$12,303",8%,$999,-37.4%,"$21,750","$21,022.2",33,"9,000",33,102,Fox
"$12,297",10.8%,$628,-5.8%,"$12,511","$13,608.8",41,"39,000",41,280,Leidos Holdings
"$12,246",-2.6%,"$1,101",-18%,"$62,895","$25,613",7,"14,071",7,70,Consolidated Edison
"$12,177",-3.9%,"$1,368",17%,"$45,496","$25,792.8",3,"10,600",3,154,DTE Energy
"$12,109",2.7%,"$3,299",-10.9%,"$549,009","$122,691.2",20,"32,000",20,218,Charles Schwab
"$12,078",-8%,"$2,420",7.9%,"$314,706","$29,553.6",-8,"39,439",-8,30,State Street
